frame_nmr,car_id,car_bbox,car_class,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
76,3,[1023.7223510742188 1278.8973388671875 1700.49658203125 1787.0301513671875],car,[1251.5137939453125 1599.5150146484375 1465.35498046875 1665.294921875],0.7258883118629456,GX15OGJ,0.4265146204989307
76,7,[1191.8072509765625 963.3365478515625 1693.5797119140625 1350.762939453125],car,[1366.5091552734375 1191.6668701171875 1494.44970703125 1252.7779541015625],0.290665864944458,EA,0.06383200262880792
77,3,[1020.77490234375 1285.0245361328125 1697.593017578125 1795.3355712890625],car,[1264.3026123046875 1599.3438720703125 1466.1126708984375 1671.9385986328125],0.7262578010559082,CX15OCJ,0.3590277606829631
77,7,[1185.9798583984375 966.003173828125 1693.21875 1355.539794921875],car,[1350.0142822265625 1194.8173828125 1491.623291015625 1253.38330078125],0.3282807171344757,@UZI,0.1270124763250351
78,3,[1018.4203491210938 1289.4405517578125 1696.926025390625 1801.541748046875],car,[1253.5213623046875 1619.091552734375 1441.9881591796875 1678.08154296875],0.571644127368927,CX15OGJ,0.14413116944695045
78,7,[1183.7789306640625 968.7146606445312 1671.07275390625 1356.9869384765625],car,[1362.3115234375 1200.9429931640625 1491.64404296875 1255.206298828125],0.3095657527446747,PUI,0.0802058633039432
79,3,[1016.2927856445312 1293.5225830078125 1697.1595458984375 1806.1822509765625],car,[1260.1607666015625 1631.548095703125 1451.0975341796875 1684.3084716796875],0.5693833231925964,CX15OGJ,0.22379429109067986
80,3,[1012.1362915039062 1299.0311279296875 1697.8046875 1814.993896484375],car,[1271.4951171875 1641.5819091796875 1445.7042236328125 1688.3499755859375],0.3948201835155487,CX15OGJ,0.4361288162417602
80,7,[1178.669189453125 973.0255126953125 1677.9918212890625 1359.4136962890625],car,[1359.16162109375 1197.6507568359375 1493.4931640625 1260.8935546875],0.29774925112724304,@WIZ,0.046665191650390625
81,3,[1007.5568237304688 1303.7852783203125 1698.1314697265625 1822.735595703125],car,[1249.8896484375 1642.58203125 1440.0714111328125 1696.682373046875],0.7495006322860718,GX15OGJ,0.2811246656117949
82,3,[1004.40087890625 1306.3759765625 1697.921630859375 1826.6385498046875],car,[1248.7235107421875 1645.24951171875 1443.13916015625 1701.873779296875],0.7232397794723511,GX15OGJ,0.5718416659460334
83,3,[1002.1793212890625 1310.260009765625 1695.44482421875 1833.725830078125],car,[1240.6875 1655.066162109375 1452.0831298828125 1709.38330078125],0.7441326975822449,GX15OCJ,0.18516849782637007
84,3,[998.6920776367188 1316.3297119140625 1694.4979248046875 1843.62939453125],car,[1228.4539794921875 1653.3782958984375 1462.4276123046875 1721.0401611328125],0.7412441372871399,GX15OGJ,0.18637660373316506
85,3,[995.51123046875 1319.796142578125 1693.89013671875 1848.9237060546875],car,[1239.28125 1659.650390625 1465.0999755859375 1720.647216796875],0.6845134496688843,GX15OGJ,0.2724126702204857
86,3,[990.5723876953125 1326.128173828125 1692.6507568359375 1857.8575439453125],car,[1226.6363525390625 1673.0877685546875 1457.040283203125 1732.4102783203125],0.34262239933013916,CX15OGJ,0.3250794714552782
87,3,[987.308349609375 1328.878662109375 1691.105712890625 1864.7283935546875],car,[1242.20068359375 1688.3763427734375 1457.1441650390625 1743.7554931640625],0.34833860397338867,CX15OGJ,0.1315507410552624
88,3,[985.5588989257812 1330.6842041015625 1690.667724609375 1871.2083740234375],car,[1237.361328125 1691.558349609375 1459.69970703125 1749.615234375],0.3295491337776184,GX15OGJ,0.1884219388625351
89,3,[983.1666870117188 1336.93798828125 1689.997314453125 1877.024169921875],car,[1240.237548828125 1691.3975830078125 1444.6417236328125 1752.6983642578125],0.7769248485565186,GXIS0G],0.34008525367679476
90,3,[980.8997192382812 1341.7344970703125 1689.6951904296875 1883.100830078125],car,[1241.267333984375 1699.824462890625 1452.4677734375 1760.316650390625],0.6548188924789429,GXIS0G],0.2387477196821455
91,3,[977.7046508789062 1344.5936279296875 1688.727294921875 1888.6890869140625],car,[1230.388671875 1701.2041015625 1448.015380859375 1764.4835205078125],0.6912100315093994,GX15OGJ,0.2899878066409972
92,3,[973.758056640625 1350.089111328125 1687.7216796875 1899.3658447265625],car,[1232.829345703125 1709.2906494140625 1448.72412109375 1767.3731689453125],0.7402998208999634,GX15OGJ,0.3139509342616512
93,3,[966.7113037109375 1356.0804443359375 1687.2452392578125 1909.1231689453125],car,[1231.423583984375 1726.2672119140625 1432.8721923828125 1778.974853515625],0.5498152375221252,GX15OGJ,0.3492522389745668
94,3,[963.3323974609375 1363.367431640625 1686.35546875 1914.190185546875],car,[1230.456298828125 1734.0765380859375 1430.180419921875 1782.626220703125],0.598762035369873,GX15OGJ,0.3025353057270061
